,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
INDICE GENERAL NACIONAL,,,,,,,,,,,,,,,
MESES,Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio,Agosto,Septiembre,Octubre,Noviembre,Diciembre,,,
AÑOS,,,,,,,,,,,,,,,
1969,0.01,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,,,
1970,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,,,
1971,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,,,
1972,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,,,
1973,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,,,
1974,0.02,0.02,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,,,
1975,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,,,
1976,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.04,,,
1977,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,,,
1978,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,,,
1979,0.04,0.04,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,,,
1980,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,,,
1981,0.05,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,,,
1982,0.06,0.06,0.06,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.08,0.08,,,
1983,0.08,0.08,0.09,0.09,0.10,0.10,0.11,0.11,0.12,0.12,0.12,0.12,,,
1984,0.12,0.12,0.13,0.13,0.13,0.13,0.13,0.14,0.14,0.14,0.15,0.15,,,
1985,0.16,0.16,0.16,0.17,0.17,0.17,0.18,0.18,0.18,0.18,0.18,0.18,,,
1986,0.19,0.19,0.20,0.20,0.20,0.21,0.21,0.21,0.22,0.23,0.23,0.23,,,
1987,0.24,0.24,0.26,0.26,0.27,0.27,0.27,0.28,0.28,0.29,0.30,0.31,,,
1988,0.32,0.34,0.35,0.38,0.39,0.41,0.43,0.45,0.49,0.51,0.54,0.58,,,
1989,0.61,0.64,0.70,0.72,0.73,0.75,0.76,0.78,0.82,0.84,0.87,0.89,,,
1990,0.92,0.97,1.01,1.05,1.08,1.11,1.15,1.16,1.20,1.25,1.30,1.33,,,
1991,1.39,1.44,1.50,1.55,1.61,1.65,1.68,1.73,1.81,1.86,1.91,1.98,,,
1992,2.07,2.14,2.20,2.32,2.40,2.49,2.55,2.63,2.91,3.09,3.13,3.17,,,
1993,3.28,3.33,3.43,3.56,3.72,3.78,3.83,3.85,3.94,4.07,4.13,4.16,,,
1994,4.23,4.40,4.52,4.65,4.72,4.79,4.82,4.89,4.98,5.04,5.15,5.21,,,
1995,5.37,5.43,5.54,5.68,5.79,5.86,5.90,5.97,6.12,6.19,6.29,6.40,,,
1996,6.55,6.72,6.92,7.11,7.09,7.20,7.32,7.47,7.65,7.77,7.94,8.04,,,
1997,8.56,8.86,8.98,9.17,9.31,9.44,9.63,9.76,9.99,10.17,10.31,10.51,,,
1998,10.93,11.42,11.74,12.25,12.47,12.83,12.93,13.10,13.76,14.65,14.95,15.07,,,
1999,15.55,15.96,18.12,19.12,19.29,19.63,20.23,20.34,20.70,21.56,22.93,24.21,,,
2000,27.68,30.46,32.77,36.11,37.97,39.99,40.94,41.49,43.02,44.18,45.14,46.25,,,
2001,49.47,50.91,52.03,52.92,53.01,53.26,53.39,53.62,54.72,55.36,56.25,56.62,,,
2002,57.65,58.26,58.92,59.80,60.09,60.32,60.28,60.54,60.89,61.28,61.71,61.92,,,
2003,63.46,63.95,64.31,64.93,65.05,64.91,64.93,64.97,65.49,65.49,65.71,65.68,,,
2004,65.95,66.40,66.87,67.30,66.98,66.78,66.36,66.38,66.53,66.72,67.00,66.96,,,
2005,67.12,67.30,67.48,68.05,68.17,68.21,68.11,68.01,68.50,68.74,68.85,69.06,,,
2006,69.39,69.88,70.33,70.38,70.28,70.12,70.14,70.29,70.70,70.94,71.06,71.04,,,
2007,71.25,71.30,71.37,71.36,71.38,71.66,71.96,72.01,72.52,72.62,72.98,73.40,,,
2008,74.23,74.94,76.04,77.20,78.01,78.60,79.06,79.23,79.75,79.77,79.64,79.88,,,
2009,80.44,80.82,81.70,82.23,82.23,82.17,82.11,81.86,82.37,82.57,82.85,83.32,,,
2010,84.01,84.30,84.44,84.87,84.89,84.88,84.90,84.99,85.21,85.42,85.65,86.09,,,
2011,86.68,87.16,87.45,88.17,88.48,88.51,88.67,89.10,89.80,90.12,90.39,90.75,,,
2012,91.27,91.98,92.80,92.95,92.77,92.93,93.18,93.45,94.49,94.58,94.71,94.53,,,
2013,95.01,95.18,95.60,95.77,95.56,95.42,95.41,95.57,96.11,96.51,96.89,97.08,,,
2014,97.78,97.89,98.57,98.86,98.82,98.93,99.33,99.53,100.14,100.35,100.53,100.64,,,
2015,101.24,101.86,102.28,103.14,103.32,103.74,103.66,103.66,103.93,103.84,103.95,104.05,,,
2016,104.37,104.51,104.65,104.97,105.01,105.38,105.29,105.12,105.28,105.20,105.04,105.21,,,
2017,105.30,105.51,105.66,106.12,106.17,105.55,105.40,105.42,105.26,105.10,104.82,105.00,,,
2018,105.20,105.37,105.43,105.29,105.09,104.81,104.80,105.08,105.50,105.45,105.18,105.28,,,
2019,105.77,105.53,105.31,105.49,105.48,105.45,105.54,105.43,105.42,105.97,105.22,105.21,,,
2020,105.45,105.29,105.50,106.56,106.28,105.62,104.97,104.63,104.47,104.27,104.26,104.23,,,
2021,104.35,104.44,104.63,104.99,105.08,104.89,105.45,105.57,105.58,105.80,106.18,106.26,,,
2022,107.02,107.27,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Nota: ,,,,,,,,,,,,,,,
Los indices del IPC (Base: 2004=100) han sido empalmados para enlazarse a los índices del IPC (Base. 2014=100),,,,,,,,,,,,,,,
Fuente: Índice de Precios al Consumidor,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
